Year,Projection
2026,2.625
2026,2.875
2026,2.875
2026,3.125
2026,3.125
2026,3.375
2026,3.375
2026,3.375
2026,3.375
2026,3.375
2026,3.375
2026,3.375
2026,3.625
2026,3.625
2026,3.625
2026,3.625
2026,3.625
2026,3.625
2026,3.625
2027,2.375
2027,2.625
2027,2.875
2027,2.875
2027,2.875
2027,3.125
2027,3.125
2027,3.125
2027,3.125
2027,3.125
2027,3.125
2027,3.375
2027,3.375
2027,3.375
2027,3.375
2027,3.625
2027,3.625
2027,3.625
2027,3.875
2028,2.625
2028,2.625
2028,2.875
2028,2.875
2028,2.875
2028,3.125
2028,3.125
2028,3.125
2028,3.125
2028,3.125
2028,3.125
2028,3.125
2028,3.375
2028,3.375
2028,3.375
2028,3.625
2028,3.625
2028,3.625
2028,3.875
Longer Run,2.625
Longer Run,2.625
Longer Run,2.875
Longer Run,2.875
Longer Run,3.0
Longer Run,3.0
Longer Run,3.0
Longer Run,3.0
Longer Run,3.0
Longer Run,3.125
Longer Run,3.125
Longer Run,3.125
Longer Run,3.25
Longer Run,3.375
Longer Run,3.375
Longer Run,3.5
Longer Run,3.625
Longer Run,3.75
Longer Run,3.875
